stable_usage_key,choice_priority,territory,kind,celebration_id,mass_form,season,week,weekday,special_day,sunday_cycle,weekday_cycle,lectionary_number,reference_normalized,response_text,source_catalog,nigeria_selection_id,nigeria_source_date,gallery_source_url,gallery_text_edition,rsvce_selection_id,text_source_id,display_edition,resolution_status,review_notes
NG|temporal|ordinary-time|30|wednesday||I,1,NG,temporal,,,ordinary-time,30,wednesday,,,I,481,"ps13:4-5a,5b-6","All my hope, O Lord, is in your loving kindness.",standard_lectionary_complete.csv,,,,,ps13_4_5a_5b_6,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|30|wednesday||II,1,NG,temporal,,,ordinary-time,30,wednesday,,,II,,"ps145:10-11,12-13ab,13cd-14",The Lord is faithful in all his words.,nigeria_2024_2025_usage_assignments.csv,,,https://www.catholicgallery.org/mass-reading/301024/,Douay-Rheims,ps145_10_11_12_13ab_13cd_14,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|31|friday||I,1,NG,temporal,,,ordinary-time,31,friday,,,I,,"ps98:1,2-3ab,3cd-4",The Lord has shown his deliverance to the nations,nigeria_2024_2025_usage_assignments.csv,,,https://www.catholicgallery.org/mass-reading/071125/,Douay-Rheims,ps98_1_2_3ab_3cd_4,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|31|friday||I,2,NG,temporal,,,ordinary-time,31,friday,,,I,489,"ps98:1,2-3ab,3cd-4",The Lord has revealed to the nations his saving power.,standard_lectionary_complete.csv,,,https://www.catholicgallery.org/mass-reading/071125/,Douay-Rheims,ps98_1_2_3ab_3cd_4,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|31|friday||II,1,NG,temporal,,,ordinary-time,31,friday,,,II,,"ps122:1-2,3-4ab,4cd-5",Let us go rejoicing to the house of the Lord.,nigeria_psalm_usage_assignments.csv,ng:2026-05-06:responsorial-psalm:1,2026-05-06,https://www.catholicgallery.org/mass-reading/081124/,Douay-Rheims,ps122_1_2_3_4ab_4cd_5,nigeria_365_firestore,Catholic Missal for Nigeria,exact_nigeria,Exact Nigerian reference and response match.
NG|temporal|ordinary-time|31|friday||II,2,NG,temporal,,,ordinary-time,31,friday,,,II,489,"ps122:1-2,3-4a,4b-5",Let us go rejoicing to the house of the Lord.,standard_lectionary_complete.csv,,,,,ps122_1_2_3_4a_4b_5,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|31|monday||I,1,NG,temporal,,,ordinary-time,31,monday,,,I,485,"ps69:29-30,32-33,35-36","Lord, in your great love, answer me.",standard_lectionary_complete.csv,,,,,ps69_29_30_32_33_35_36,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|31|monday||II,1,NG,temporal,,,ordinary-time,31,monday,,,II,,"ps131:1bcde,2,3","Keep my soul in peace at your side, O Lord.",nigeria_2024_2025_usage_assignments.csv,,,https://www.catholicgallery.org/mass-reading/041124/,Douay-Rheims,ps131_1bcde_2_3,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|31|monday||II,2,NG,temporal,,,ordinary-time,31,monday,,,II,485,"ps131:1,2,3","In you, Lord, I have found my peace.",standard_lectionary_complete.csv,,,,,ps131_1_2_3,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|31|saturday||I,1,NG,temporal,,,ordinary-time,31,saturday,,,I,,"ps145:2-3,4-5,10-11","I will bless your name forever, my king and my God.",nigeria_2024_2025_usage_assignments.csv,ng:reconstructed:ecc7e6a313311f94,,https://www.catholicgallery.org/mass-reading/081125/,Douay-Rheims,ps145_2_3_4_5_10_11,nigeria_365_firestore,Catholic Missal for Nigeria,reconstructed_nigeria,Reconstructed only from exact verified Nigerian stanza fragments.
NG|temporal|ordinary-time|31|saturday||I,2,NG,temporal,,,ordinary-time,31,saturday,,,I,490,"ps145:2-3,4-5,10-11","I will praise your name for ever, Lord.",standard_lectionary_complete.csv,ng:reconstructed:c4bb1cf3e57418d2,,https://www.catholicgallery.org/mass-reading/081125/,Douay-Rheims,ps145_2_3_4_5_10_11,nigeria_365_firestore,Catholic Missal for Nigeria,reconstructed_nigeria,Reconstructed only from exact verified Nigerian stanza fragments.
NG|temporal|ordinary-time|31|saturday||II,1,NG,temporal,,,ordinary-time,31,saturday,,,II,,"ps112:1b-2,5-6,8a,9",Blessed the man who fears the Lord.,nigeria_psalm_usage_assignments.csv,ng:2026-11-07:responsorial-psalm:1,2026-11-07,,,ps112_1b_2_5_6_8a_9,nigeria_365_firestore,Catholic Missal for Nigeria,exact_nigeria,Exact Nigerian reference and response match.
NG|temporal|ordinary-time|31|saturday||II,2,NG,temporal,,,ordinary-time,31,saturday,,,II,490,"ps112:1-2,5-6,8a+9",Happy are those who fear the Lord.,standard_lectionary_complete.csv,,,,,ps112_1_2_5_6_8a_9,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|31|sunday|A|,1,NG,temporal,,,ordinary-time,31,sunday,,A,,,"ps131:1,2,3","In you, Lord, I have found my peace.",standard_lectionary_complete.csv,,,,,ps131_1_2_3,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|31|sunday|B|,1,NG,temporal,,,ordinary-time,31,sunday,,B,,,"ps18:2-3,3-4,47,51","I love you, Lord, my strength",nigeria_2024_2025_usage_assignments.csv,,,https://www.catholicgallery.org/mass-reading/031124/,Douay-Rheims,ps18_2_3_3_4_47_51,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|31|sunday|C|,1,NG,temporal,,,ordinary-time,31,sunday,,C,,,"ps145:1-2,8-9,10-11,13,14","I will praise your name for ever, my king and my God.",standard_lectionary_complete.csv,,,,,local_rsvce:expanded:b1b43c09048cc635,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|31|thursday||I,1,NG,temporal,,,ordinary-time,31,thursday,,,I,,"ps27:1bcde,4,13-14",I believe I shall see the Lord’s goodness in the land of the living,nigeria_2024_2025_usage_assignments.csv,,,https://www.catholicgallery.org/mass-reading/061125/,Douay-Rheims,ps27_1bcde_4_13_14,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|temporal|ordinary-time|31|thursday||I,2,NG,temporal,,,ordinary-time,31,thursday,,,I,488,"ps27:1,4,13-14",I believe that I shall see the good things of the Lord,standard_lectionary_complete.csv,,,,,ps27_1_4_13_14,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
