normalized_ref,source_file,reading_type,raw_ref,candidate_line,method,confidence,page
1 john 3:1-2,sunday,second_reading,1 Jn 3:1-2,BELOVED: See what love the Father has bestowed on us,sunday_column_left,100,99
"1 john 3:1-2, 21-24",sunday,second_reading,"1 Jn 3:1-2, 21-24",BELOVED: See what love the Father has bestowed on us,sunday_column_left,100,38
1 john 3:11-21,weekday_a,first_reading,1 John 3.11-21,"My little children,",weekday_direct,100,87
1 john 3:18-24,sunday,second_reading,1 Jn 3:18-24,"CHILDREN, let us love not in word or speech but in deed and truth.",sunday_column_left,100,102
1 john 3:22 - 4.6,weekday_a,first_reading,1 John 3.22 - 4.6,"My dear people,",weekday_direct,100,95
1 john 3:7-10,weekday_a,first_reading,1 John 3.7-10,"Little children,",weekday_direct,100,85
1 john 4:11-18,weekday_a,first_reading,1 John 4.11-18,"Beloved,",weekday_direct,100,99
1 john 4:19 - 5.4,weekday_a,first_reading,1 John 4.19 - 5.4,"My dear children,",weekday_direct,100,101
1 john 4:7-10,weekday_a,first_reading,1 John 4.7-10,"Beloved,",weekday_direct,100,97
1 john 4:7-10,sunday,second_reading,1 Jn 4:7-10,"BELOVED, let us love one another, because love is of God;",sunday_column_left,100,105
1 john 4:7-16,sunday,second_reading,1 Jn 4:7-16,"BELOVED, let us love one another, because love is of God;",sunday_column_left,100,245
1 john 5:1-6,sunday,second_reading,1 Jn 5:1-6,"BELOVED: Everyone who believes that Jesus is the Christ is begotten by God,",sunday_column_left,100,93
1 john 5:1-9,sunday,second_reading,1 Jn 5:1-9,"BELOVED: Everyone who believes that Jesus is the Christ is begotten by God,",sunday_column_right,100,42
1 john 5:14-21,weekday_a,first_reading,1 John 5.14-21,"Beloved ones, I write these things to you",weekday_direct,100,92
1 john 5:14-21,weekday_a,first_reading,1 John 5.14-21,"My dear people, this is the boldness we have in God,",weekday_direct,100,106
1 john 5:5-13,weekday_a,first_reading,1 John 5.5-13,"Beloved,",weekday_direct,100,89
1 john 5:5-13,weekday_a,first_reading,1 John 5.5-13,"My beloved people,",weekday_direct,100,104
1 kings 10:1-10,weekday_a,first_reading,1 Kings 10.1-10,"When the queen of Sheba heard of the fame of Solomon,",weekday_direct,100,312
1 kings 11:29-32; 12.19,weekday_a,first_reading,1 Kings 11.29-32; 12.19,"Jeroboam was very able, and when Solomon saw that the young man was industrious he gave him charge over all the forced labour of the house of Joseph. About that time, when Jeroboam was leaving Jerusalem,",weekday_direct,100,316
1 kings 11:4-13,weekday_a,first_reading,1 Kings 11.4-13,"When Solomon was old,",weekday_direct,100,314
