Season,Week,Day,Weekday Cycle,Sunday Cycle,Full Reference,Refrain Text,Acclamation Ref,Acclamation Text,Lectionary Number
Ordinary Time,6,Tuesday,II,,"Psalm 88.1-2, 3-4, 5, 6-7 (R.2a)","Let my prayer come before you, Lord.",Mark 10.45,The Son of Man came to serve and to give his life as a ransom for all.,456
Ordinary Time,6,Wednesday,II,,"Psalm 88.9bc-10, 11-12, 13-14 (R.2a)","Let my prayer come before you, Lord.",Philippians 3.8-9,I count all things worthless but this: to gain Jesus Christ and to be found in him. 1644 TWENTY-SIXTH WEEK IN ORDINARY TIME – YEAR II,457
Ordinary Time,6,Thursday,II,,"Psalm 27.7-8a, 8b-9abc, 13-14 (R.13)",I believe that I shall see the good things of the Lord in the land of the living.,Mark 1.15,The kingdom of God is near: repent and believe the good news!,458
Ordinary Time,6,Friday,II,,"Psalm 139.1-3, 7-8, 9-10, 13-14ab (R.24b)","Guide me, Lord, along the everlasting way.",Psalm 95.8,"If today you hear God’s voice, harden not your hearts.",459
Ordinary Time,6,Saturday,II,,"Psalm 119.66+71, 75+91, 125+130 (R.135a)","Lord, let your face shine on me.",Matthew 11.25,"Blessed are you, Father, Lord of heaven and earth; you have revealed to little ones the mysteries of the kingdom. 1650 TWENTY-SIXTH WEEK IN ORDINARY TIME – YEAR II",460
Ordinary Time,7,Monday,II,,"Psalm 111.1-2, 7-8, 9+10c (R.5b)",The Lord will remember his covenant for ever.,John 13.34,I give you a new commandment: love one another as I have loved you.,461
Ordinary Time,7,Tuesday,II,,"Psalm 139.1-3, 13-14, 15-16a (R.24b)","Guide me, Lord, along the everlasting way.",Luke 11.28,Blessed are they who hear the word of God and keep it. TUESDAY 1655,462
Ordinary Time,7,Wednesday,II,,"Psalm 117.1, 2 (R. Mk 16.15)",Go out to all the world and tell the good news.,Romans 8.15,"You have received the Spirit which makes us God’s children, and in that Spirit we call God our Father. WEDNESDAY 1657",463
Ordinary Time,7,Friday,II,,"Psalm 111.1-2, 3-4, 5-6 (R.5b)",The Lord will remember his covenant for ever.,John 12.31b-32,"The prince of this world will now be cast out, and when I am lifted up from the earth, I will draw all to myself, says the Lord.",465
Ordinary Time,7,Saturday,II,,"Psalm 105.2-3, 4-5, 6-7 (R.8a)",The Lord remembers his covenant for ever.,Luke 11.28,Blessed are they who hear the word of God and keep it.,466
Ordinary Time,8,Monday,II,,"Psalm 113.1-2, 3-4, 5a+6-7 (R. see 2)",Blessed be the name of the Lord for ever.,Psalm 95.8,"If today you hear God’s voice, harden not your hearts.",467
Ordinary Time,8,Tuesday,II,,"Psalm 119.41+43, 44-45, 47-48 (R.41a)","Let your loving kindness come to me, O Lord.",Hebrews 4.12,The word of God is living and active; it probes the thoughts and motives of our heart.,468
Ordinary Time,8,Wednesday,II,,"Psalm 1.1-2, 3, 4+6 (R. see Jn 8.12)","Those who follow you, Lord, will have the light of life.",,"John 10.27 My sheep listen to my voice, says the Lord; I know them, and they follow me.",469
Ordinary Time,8,Thursday,II,,"Psalm 98.1, 2-3a, 3b-4, 5-6 (R.2a)",The Lord has made known his salvation.,John 14.6,"I am the way, the truth, and the life, says the Lord; no one comes to the Father, except through me.",470
Ordinary Time,8,Friday,II,,"Psalm 33.1-2, 4-5, 12-13 (R.12b)",Happy the people the Lord has chosen to be his own.,Psalm 33.22,"Lord, let your mercy be on us, as we place our trust in you.",471
Ordinary Time,8,Saturday,II,,"Psalm 8.1-2a, 3-4, 5-6 (R.6)",You gave your Son authority over all your creation.,"John 15.26b, 27a","The Spirit of truth will bear witness to me, says the Lord, and you also will be my witnesses.",472
Ordinary Time,8,Monday,II,,"Psalm 100.1-2, 3, 4, 5 (R.3b)","The Lord made us, we belong to him.",Matthew 5.3,Blessed are the poor in spirit; the kingdom of heaven is theirs!,473
Ordinary Time,9,Tuesday,II,,"Psalm 85.8ab-9, 10-11, 12-13 (R.8b)",The Lord speaks of peace to his people.,Luke 21.36,"Be watchful, pray constantly, that you may be worthy to stand before the Son of Man.",474
