season,week,day,occasion_1967,season_mapped,week_mapped,day_mapped,cycle_applicability,notes,petitions,page_number
"Ordinary Time","10","Sunday","THE EIGHTH SUNDAY AFTER PENTECOST","Ordinary Time","10","Sunday","ALL","Ordinary Time"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Help us to realize that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Grant spiritual refreshment to us all assembled here with thee, that the Eucharist may be for us a pledge of eternal glory.","52"
"Ordinary Time","11","Sunday","THE NINTH SUNDAY AFTER PENTECOST","Ordinary Time","11","Sunday","ALL","Ordinary Time"," Lord, graciously hear us. Bless and strengthen the sick, especially the sick of this parish, and all who have care of them.","53"
"Ordinary Time","12","Sunday","THE TENTH SUNDAY AFTER PENTECOST","Ordinary Time","12","Sunday","ALL","Ordinary Time"," Lord, graciously hear us. Enlighten with thy Spirit all places of education and learning. |  Lord, graciously hear us. Have pity on all prisoners and captives, those in exile, and all who suffer persecution. Strengthen and uphold them. |  Lord, graciously hear us. Inspire us with the light of the Holy Spirit and teach us to know and to do thy holy will.","54"
"Ordinary Time","13","Sunday","THE ELEVENTH SUNDAY AFTER PENTECOST","Ordinary Time","13","Sunday","ALL","Ordinary Time"," Lord, graciously hear us. Send us fair weather and rain in due season, that all may enjoy the fruits of the earth. |  Lord, graciously hear us. Console all those who mourn, and bring them comfort. |  Lord, graciously hear us. Bless especially the families of this place, our schools, and all who teach and learn therein, the activities in which we engage and the enterprises we undertake.","55"
"Ordinary Time","14","Sunday","THE TWELFTH SUNDAY AFTER PENTECOST","Ordinary Time","14","Sunday","ALL","Ordinary Time"," Lord, graciously hear us. Guide the minds of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Strengthen all who are engaged in our country’s defence and keep them and us from all harm. |  Lord graciously hear us. Inspire us with the light of the Holy Spirit and teach us to know and to do thy holy will.","56"
"Ordinary Time","15","Sunday","THE THIRTEENTH SUNDAY AFTER PENTECOST","Ordinary Time","15","Sunday","ALL","Ordinary Time"," Lord, graciously hear us. Remove all strife and bitterness from those who are at variance, so that they l. may serve thee in true brotherly union. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless all who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world.","57"
"Ordinary Time","16","Sunday","THE FOURTEENTH SUNDAY AFTER PENTECOST","Ordinary Time","16","Sunday","ALL","Ordinary Time"," Lord, graciously hear us. Strengthen all who are engaged in our country’s defence and keep them and us from all harm. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Inspire us with the light of the Holy Spirit and teach us to know and do thy holy will.","58"
"Ordinary Time","17","Sunday","THE FIFTEENTH SUNDAY AFTER PENTECOST","Ordinary Time","17","Sunday","ALL","Ordinary Time"," Lord, graciously hear us. Grant all nations true peace and understanding. |  Lord, graciously hear us. Bless and strengthen the sick, especially the sick of this parish, and all who have care of them. |  Lord, graciously hear us. Bless especially the families of this place, that, following the example of Nazareth, they may show forth the Christian virtues.","59"
"Ordinary Time","18","Sunday","THE SIXTEENTH SUNDAY AFTER PENTECOST","Ordinary Time","18","Sunday","ALL","Ordinary Time"," Lord, graciously hear us. Enable all those institutions and individuals who strive for peace to obtain it. |  Lord, graciously hear us. Enlighten with thy Spirit all places of education and learning. |  Lord, graciously hear us. Stir our consciences to help the hungry and the poor throughout the world.","60"
"Ordinary Time","19","Sunday","THE SEVENTEENTH SUNDAY AFTER PENTECOST","Ordinary Time","19","Sunday","ALL","Ordinary Time"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world.","61"
