row,season,week,day,weekday_cycle,sunday_cycle,lectionary_number,type,reference,first_verse_text,current_incipit,flag_reason
684,Lent,4,Tuesday,I/II,,245,gospel,John 5.1-16,"After this there was a feast of the Jews, and Jesus went up to Jerusalem.","There was a festival of the Jews, and Jesus went up to Jerusalem.",continuation_marker
685,Lent,4,Wednesday,I/II,,246,first_reading,Isa 49.8-15,"Thus says the LORD: ""In a time of favor I have answered you, in a day of salvation I have helped you; I have kept you and given you as a covenant to the people, to establish the land, to apportion the desolate heritages;",Thus says the Lord to his servant In a time of favour I have answered you,starts_with_conjunction:thus
685,Lent,4,Wednesday,I/II,,246,gospel,John 5.16-30,"And this was why the Jews persecuted Jesus, because he did this on the sabbath.",Jesus healed a man who was paralyzed on the Sabbath.,starts_with_conjunction:and
686,Lent,4,Thursday,I/II,,247,first_reading,Exod 32.7-14,"And the LORD said to Moses, ""Go down; for your people, whom you brought up out of the land of Egypt, have corrupted themselves;",After the Lord God had finished giving the tablets of the covenant,starts_with_conjunction:and
686,Lent,4,Thursday,I/II,,247,gospel,"John 5.18, 31-47","This was why the Jews sought all the more to kill him, because he not only broke the sabbath but also called God his Father, making himself equal with God.",The Jewish leaders were seeking to kill Jesus,starts_with_pronoun:this
687,Lent,4,Friday,I/II,,248,first_reading,"Wisdom 2.1a, 12-22","For they reasoned unsoundly, saying to themselves,","The ungodly reasoned unsoundly, saying to themselves",starts_with_conjunction:for
687,Lent,4,Friday,I/II,,248,gospel,"John 7.1-2, 10, 25-30","After this Jesus went about in Galilee; he would not go about in Judea, because the Jews  sought to kill him.",Jesus went about in Galilee.,continuation_marker
689,Lent,4,Saturday,I/II,,242,first_reading,Micah 7.7-9,"But as for me, I will look to the LORD, I will wait for the God of my salvation; my God will hear me.","As for me, I will look to the Lord",starts_with_conjunction:but
690,Lent,5,Sunday,,A,,first_reading,Ez 37:12-14,"Therefore prophesy, and say to them, Thus says the Lord GOD: Behold, I will open your graves, and raise you from your graves, O my people; and I will bring you home into the land of Israel.","THUS says the Lord GOD O my people, I will open your graves",starts_with_conjunction:therefore
690,Lent,5,Sunday,,A,,gospel,"John 11:1-45 or 11:3-7, 17, 20-27, 33b-45","Now when Jesus came, he found that Lazarus  had already been in the tomb four days.","NOW a man was ill, Lazarus from Bethany",starts_with_conjunction:now
691,Lent,5,Sunday,,B,,gospel,John 12:20-33,Now among those who went up to worship at the feast were some Greeks.,SOME Greeks who had come to worship at the Passover Feast,starts_with_conjunction:now
692,Lent,5,Sunday,,C,,first_reading,Isa 43:16-21,"Thus says the LORD, who makes a way in the sea, a path in the mighty waters,",THUS says the LORD who opens a way in the sea,starts_with_conjunction:thus
692,Lent,5,Sunday,,C,,gospel,John 8:1-11,But Jesus went to the Mount of Olives.,JESUS went to the Mount of Olives.,starts_with_conjunction:but
693,Lent,5,Monday,I/II,,251,first_reading,"(shorter) Daniel 13.2, 4-6, 8, 15-16, 19-23, 28, 41-46, 48-64","And he took a wife named Susanna, the daughter of Hilkiah, a very beautiful woman and one who feared the Lord.","Joakim married the daughter of Hilkiah, named Susanna",starts_with_conjunction:and
693,Lent,5,Monday,I/II,,251,gospel,John 8.12-20,"Again Jesus spoke to them, saying, ""I am the light of the world; he who follows me will not walk in darkness, but will have the light of life.""","Jesus spoke to the people, saying",starts_with_conjunction:again
694,Lent,5,Tuesday,I/II,,252,gospel,John 8.21-30,"Again he said to them, ""I go away, and you will seek me and die in your sin; where I am going, you cannot come.""","Jesus said to the people ""I am going away, and you will search for me",starts_with_conjunction:again
695,Lent,5,Thursday,I/II,,254,first_reading,Gen 17.3-9,"Then Abram fell on his face; and God said to him,",When Abram was ninety-nine years old,starts_with_conjunction:then
697,Lent,5,Saturday,I/II,,249,first_reading,"2 Kings 4.18-21, 32-33, 34d, 35c-37","When the child had grown, he went out one day to his father among the reapers.",It happened that a woman of Shunem,starts_with_conjunction:when
