Season,Week,Day,Weekday Cycle,Sunday Cycle,Full Reference,Refrain Text,Acclamation Ref,Acclamation Text,Lectionary Number
Ordinary Time,1,Saturday,II,,"Psalm 33.12-13, 18-19, 20-21 (R.12b)",Happy the people the Lord has chosen to be his own.,John 13.34,I give you a new commandment: love one another as I have loved you. GO S P E L 1586 TWENTY-FIRST WEEK IN ORDINARY TIME – YEAR II Matthew 25.14-30,430
Ordinary Time,1,Saturday,II,,"Psalm 112.1-2, 5-6, 8a+9 (R.1a)",Happy are those who fear the Lord.,2 Corinthians 8.9,"Jesus Christ was rich but he became poor, to make you rich out of his poverty. SATURDAY 1713",490
Ordinary Time,2,Monday,I,,"Psalm 110.1, 2, 3, 4 (R.4b)",You are a priest forever according to the order of Melchizedek.,Hebrews 4.12,The word of God is alive and active; it judges the thoughts and intentions of the heart.,311
Ordinary Time,2,Monday,I,,"Psalm 50.8-9, 16bc-17, 21+23 (R.23)",I will show the salvation of God to those who do right.,Hebrews 4.12,The word of God is living and active; it probes the thoughts and motives of the heart.,311
Ordinary Time,2,Monday,II,,"Psalm 139.1-3, 4-6, 7-8, 9-10 (R.24b)","Guide me, Lord, along the everlasting way.","Philippians 2.15d, 16a",Shine on the world like bright stars; you are offering it the word of life.,491
Ordinary Time,2,Monday,II,,"Psalm 119.53+61, 134+150, 155+158 (R. see 88)","Give me life, O Lord, and I will do your commands",John 8.12,"I am the light of the world, says the Lord: whoever follows me will have the light of life. 1322 THIRTY-THIRD WEEK IN ORDINARY TIME – YEAR I",497
Ordinary Time,2,Monday,II,,"Psalm 5.1+4, 5-6, 11 (R.8a)","Lead me in your justice, Lord.",John 10.27,"My sheep listen to my voice, says the Lord; I know them and they follow me.",437
Ordinary Time,2,Tuesday,I,,"Psalm 111.1-2, 4-5, 9+10c (R.5)",God is ever mindful of his covenant.,Ephesians 1.17-18,"May the Father of our Lord Jesus Christ enlighten the eyes of our heart, that we might see how great is the hope to which we were called.",312
Ordinary Time,2,Tuesday,I,,"Psalm 89.19, 20-21, 26-27 (R.20)","I have found David, my servant.",Ephesians 1.17-18,"May the Father of our Lord Jesus Christ enlighten the eyes of our heart, that we might see how great is the hope to which we are called.",312
Ordinary Time,2,Tuesday,II,,"Psalm 27.1, 4, 13-14 (R.13)",I believe that I shall see the good things of the Lord in the land of the living.,Luke 7.16,A great prophet has appeared among us; God has visited his people.,432
Ordinary Time,2,Tuesday,II,,"Psalm 34.2-3, 16-17, 18-19 (R. see 2)",I will bless the Lord at all times.,John 14.23,"All who love me will keep my words, and my Father will love them, and we will come to them.",492
Ordinary Time,2,Tuesday,II,,"Psalm 145.8-9, 10-11, 12-13ab, 13cd-14 (R.17a)",The Lord is just in all his ways.,Luke 7.16,A great prophet has appeared among us; God has visited his people.,432
Ordinary Time,2,Tuesday,II,,"Psalm 37.3-4, 18+23, 27+29 (R.39)",The salvation of the just comes from the Lord.,John 14.23,"All who love me will keep my words, and my Father will love them, and we will come to them.",492
Ordinary Time,2,Wednesday,I,,"Psalm 110.1, 2, 3, 4 (R.4)",You are a priest forever in the line of Melchizedek.,Matthew 4.23,Jesus preached the Good News to the people and healed the ones who were sick.,313
Ordinary Time,2,Wednesday,I,,"Psalm 144.1-2, 9-10 (R.1)","Blessed be the Lord, my rock.",Matthew 4.23,Jesus preached the good news of the kingdom and healed all who were sick.,313
Ordinary Time,2,Wednesday,II,,"Psalm 52.8, 9 (R.8b)",I trust in the kindness of God for ever.,Luke 4.18,The Lord sent me to bring good news to the poor and freedom to prisoners.,433
Ordinary Time,2,Wednesday,II,,"Psalm 82.3-4, 6-7 (R.8)","Rise up, O God, bring judgment to the earth.",1 Thessalonians 5.18,"For all things give thanks to God, because this is what God expects of you in Jesus Christ.",493
Ordinary Time,2,Wednesday,II,,"Psalm 33.12-13, 14-15, 20-21 (R.12b)",Happy the people the Lord has chosen to be his own.,Luke 4.18,The Lord sent me to bring good news to the poor and freedom to prisoners.,433
Ordinary Time,2,Wednesday,II,,"Psalm 23.1-3a, 3b-4, 5, 6 (R.1)",The Lord is my shepherd; there is nothing I shall want.,1 Thessalonians 5.18,"For all things give thanks to God, because this is what God expects of you in Jesus Christ.",493
Ordinary Time,2,Thursday,I,,"Psalm 40.6-7a, 7b-8, 9, 16 (R.7-8)","Here am I, Lord;",2 Timothy 1.10b,Our Saviour Jesus Christ destroyed death; and brought life immortal through the gospel. 126 SECOND WEEK IN ORDINARY TIME – YEAR I,314
Ordinary Time,2,Thursday,I,,"Psalm 56.1-2, 8-9ab, 9c-11, 12-13 (R.4)",In God I trust; I am not afraid.,2 Timothy 1.10b,Our Saviour Jesus Christ has done away with death and brought us life through the gospel. 264 SECOND WEEK IN ORDINARY TIME – YEAR II,314
Ordinary Time,2,Thursday,II,,"Psalm 98.2-3ab, 3cd-4, 5-6 (R.2a)",The Lord has made known his salvation.,Matthew 4.19,"Come follow me, says the Lord, and I will make you fishers of my people.",434
Ordinary Time,2,Thursday,II,,"Psalm 119.89-90, 91+130, 135+175 (R.89)","Your word is for ever, O Lord.",John 15.5,"I am the vine and you are the branches, says the Lord: those who live in me, and I in them, will bear much fruit.",494
Ordinary Time,2,Thursday,II,,"Psalm 24.1-2, 3-4ab, 5-6 (R.1a)",To the Lord belongs the earth and all that fills it.,Matthew 4.19,"Come follow me, says the Lord, and I will make you fishers of my people.",434
Ordinary Time,2,Thursday,II,,"Psalm 146.6c-7, 8-9a, 9bc-10 (R.5)",Blest are they whose help is the God of Jacob.,John 15.5,"I am the vine and you are the branches, says the Lord: those who live in me, and I in them, will bear much fruit. 1722 THIRTY-SECOND WEEK IN ORDINARY TIME – YEAR II",494
Ordinary Time,2,Friday,I,,"Psalm 85.7+9, 10-11, 12-13 (R.11)",Kindness and truth shall meet.,2 Corinthians 5.19,"God was in Christ, to reconcile the world to himself; and the good news of reconciliation he has entrusted to us.",315
Ordinary Time,2,Friday,I,,"Psalm 57.1, 2-3, 5+10 (R.1)","Have mercy on me, God, have mercy.",2 Corinthians 5.19,"God was in Christ, to reconcile the world to himself; and the good news of reconciliation he has entrusted to us. FRIDAY 267",315
Ordinary Time,2,Friday,II,,"Psalm 100.1-2, 3, 4, 5 (R.2c)",Come with joy into the presence of the Lord.,John 8.12,"I am the light of the world, says the Lord; whoever follows me will have the light of life.",435
Ordinary Time,2,Friday,II,,"Psalm 19.1-2, 3-4ab (R.2)",The heavens proclaim the glory of God.,Luke 21.28,Lift up your heads and see; your redemption is near at hand.,495
