weekday_cycle,source_file,season,reference_status,day,psalm_response,acclamation_ref,first_reading,reading_cycle,sunday_cycle,acclamation_text,week,first_reading_incipit,lectionary_number,gospel,parser_warnings,second_reading,source_page,psalm_reference,gospel_incipit,source_title,second_reading_incipit
,sunday_readings_columns.txt,Lent,unverified,Sunday,"(8) If today you hear his voice, harden not your hearts.",,Exod 17:3-7,,A,,3,"IN those days, in their thirst for water",,"John 4:5-42 or 4:5-15, 19b-26, 39a, 40-42",,"Rom 5:1-2, 5-8",51,"Ps 95:1-2, 6-7, 8-9",Shorter form in brackets.,THIRD SUNDAY OF LENT-A,BROTHERS and sisters
,sunday_readings_columns.txt,Lent,unverified,Sunday,"(8) If today you hear his voice, harden not your hearts.",,Exod 17:3-7,,A,,3,"IN those days, in their thirst for water",,"John 4:5-15, 19b-26, 39a, 40-42",,"Rom 5:1-2, 5-8",53,"Ps 95:1-2, 6-7, 8-9",JESUS came to a town of Samaria called Sychar,THIRD SUNDAY OF LENT-A,BROTHERS and sisters
,sunday_readings_columns.txt,Lent,unverified,Sunday,"(John 6:68c) Lord, you have the words of everlasting life.",,Exod 20:1-17,,B,,3,"In those days, God delivered all these commandments",,John 2:13-25,,1 Cor 1:22-25,54,"Ps 19:8, 9, 10, 11",SINCE the Passover of the Jews was near,THIRD SUNDAY OF LENT-B,BROTHERS and sisters
,sunday_readings_columns.txt,Lent,unverified,Sunday,(8a) The Lord is kind and merciful.,,"Exod 3:1-8a, 13-15",,C,,3,MOSES was tending the flock of his father-in-law Jethro,,Luke 13:1-9,,"1 Cor 10:1-6, 10-12",55,"Ps 103: 1-2, 3-4, 6-7, 8, 11",SOME people told Jesus about the Galileans,THIRD SUNDAY OF LENT-C,"I DO not want you to be unaware, brothers and sisters"
,sunday_readings_columns.txt,Lent,unverified,Sunday,(1) The Lord is my shepherd; there is nothing I shall want.,,"1 Sam 16:1b, 6-7, 10-13a",,A,,4,THE LORD said to Samuel,,"John 9:1-41 or 9:1, 6-9, 13-17, 34-38",,Eph 5:8-14,56,"Ps 23: 1-3a, 3b-4, 5, 6",Shorter form in brackets.,FOURTH SUNDAY OF LENT-A,BROTHERS and sisters
,sunday_readings_columns.txt,Lent,unverified,Sunday,(1) The Lord is my shepherd; there is nothing I shall want.,,"1 Sam 16:1b, 6-7, 10-13a",,A,,4,THE LORD said to Samuel,,"John 9:1, 6-9, 13-17, 34-38",,Eph 5:8-14,58,"Ps 23: 1-3a, 3b-4, 5, 6",AS Jesus passed by he saw a man blind from birth.,FOURTH SUNDAY OF LENT-A,BROTHERS and sisters
,sunday_readings_columns.txt,Lent,unverified,Sunday,"(6ab) Let my tongue be silenced, if I ever forget you!",,"2 Chr 36:14-16, 19-23",,B,,4,"IN those days, all the princes of Judah, the priests, and the people",,John 3:14-21,,Eph 2:4-10,59,"Ps 137:1-2, 3, 4-5, 6",JESUS said to Nicodemus,FOURTH SUNDAY OF LENT-B,BROTHERS and sisters
,sunday_readings_columns.txt,Lent,unverified,Sunday,(9a) Taste and see the goodness of the Lord.,,"Jos 5:9a, 10-12",,C,,4,THE LORD said to Joshua,,"Luke 15:1-3, 11-32",,2 Cor 5:17-21,60,"Ps 34:2-3, 4-5, 6-7",TAX collectors and sinners were all drawing near to listen to Jesus,FOURTH SUNDAY OF LENT-C,BROTHERS and sisters
,sunday_readings_columns.txt,Lent,unverified,Sunday,(7) With the Lord there is mercy and fullness of redemption.,,Ez 37:12-14,,A,,5,THUS says the Lord GOD,,"John 11:1-45 or 11:3-7, 17, 20-27, 33b-45",,Rom 8:8-11,61,"Ps 130:1-2, 3-4, 5-6, 7-8",Shorter form in brackets.,FIFTH SUNDAY OF LENT-A,BROTHERS and sisters
,sunday_readings_columns.txt,Lent,unverified,Sunday,(7) With the Lord there is mercy and fullness of redemption.,,Ez 37:12-14,,A,,5,THUS says the Lord GOD,,"John 11:1-45 or 11:3-7, 17, 20-27, 33b-45",,Rom 8:8-11,63,"Ps 130:1-2, 3-4, 5-6, 7-8",THE sisters sent word to him [Jesus ] saying,FIFTH SUNDAY OF LENT-A,BROTHERS and sisters
,sunday_readings_columns.txt,Lent,unverified,Sunday,"(12a) Create a clean heart in me, O God.",,Jer 31:31-34,,B,,5,"THE days are coming, says the LORD",,John 12:20-33,,Heb 5:7-9,64,"Ps 51:3-4, 12-13, 14-15",SOME Greeks who had come to worship at the Passover Feast,FIFTH SUNDAY OF LENT-B,IN the days when Christ Jesus was in the flesh
,sunday_readings_columns.txt,Lent,unverified,Sunday,(3) The Lord has done great things for us; we are filled with joy.,,Isa 52:13-53:12,,C,,5,THUS says the LORD,,cf. Jn 18:1-19:42,,Heb 4:14-16; 5:7-9,65,"Ps 31:2, 6, 12-13, 15-16, 17, 25",JESUS went to the Mount of Olives.,FIFTH SUNDAY OF LENT-C,BROTHERS and sisters
,sunday_readings_columns.txt,Easter,unverified,Sunday,"(1) You are my inheritance, O Lord.",,,,A,,,,,Matt 28:1-10,,,83,"Ps 118:1-2, 16-17, 22-23","AFTER the sabbath, as the first day of the week was dawning",EASTER VIGIL-ABC,
,sunday_readings_columns.txt,Easter,unverified,Sunday,"(1) You are my inheritance, O Lord.",,,,B,,,,,Mark 16:1-7,,,83,"Ps 118:1-2, 16-17, 22-23",WHEN the sabbath was over,EASTER VIGIL-ABC,
,sunday_readings_columns.txt,Easter,unverified,Sunday,"(1) You are my inheritance, O Lord.",cf. 1 Corinthians 5:7b-8a,"Acts 10:34a, 37-43",,C,"Christ, our paschal lamb, has been sacrificed; let us then feast with joy in the Lord.-R.",,PETER proceeded to speak and said,,John 20:1-9,,,83,"Ps 118:1-2, 16-17, 22-23",AT daybreak on the first day of the week,EASTER VIGIL-ABC,
,sunday_readings_columns.txt,Easter,unverified,Sunday,"(1) Give thanks to the LORD, for he is good, his love is everlasting.",John 20:29,Acts 2:42-47,,A,"You believe in me, Thomas, because you have seen me, says the Lord; Blessed are they who have not seen me, but still believe!-R.",2,THEY devoted themselves,,John 20:19-31,,1 Pet 1:3-9,92,"Ps 118:2-4, 13-15, 22-24",ON the evening of that first day of the week,SECOND SUNDAY OF EASTER-A,BLESSED be the God and Father of our Lord Jesus Christ
,sunday_readings_columns.txt,Easter,unverified,Sunday,"(1) Give thanks to the LORD, for he is good, his love is everlasting.",John 20:29,Acts 4:32-35,,B,"You believe in me, Thomas, because you have seen me, says the Lord; Blessed are those who have not seen me, but still believe!-R.",2,THE community of believers was of one heart and mind,,John 20:19-31,,1 John 5:1-6,93,"Ps 118:2-4, 13-15, 22-24",ON the evening of that first day of the week,SECOND SUNDAY OF EASTER-B,BELOVED
,sunday_readings_columns.txt,Easter,unverified,Sunday,"(1) Give thanks to the Lord for he is good, his love is everlasting.",John 20:29,Acts 5:12-16,,C,"You believe in me, Thomas, because you have seen me, says the Lord; Blessed are they who have not seen me, but still believe!-R.",2,MANY signs and wonders were done among the people,,John 20:19-31,,"Rev 1:9-11a, 12-13, 17-19",94,"Ps 118:2-4, 13-15, 22-24",ON the evening of that first day of the week,SECOND SUNDAY OF EASTER-C,"I, JOHN, your brother, who share with you"
,sunday_readings_columns.txt,Easter,unverified,Sunday,"(11a) Lord, you will show us the path of life.",cf. Luke 24:32,"Acts 2:14, 22-33",,A,"Lord Jesus, open the Scriptures to us; make our hearts burn while you speak to us.-R.",3,THEN Peter stood up with the Eleven,,Luke 24:13-35,,1 Pet 1:17-21,95,"Ps 16:1-2, 5, 7-8, 9-10, 11","THAT very day, the first day of the week",THIRD SUNDAY OF EASTER-A,BELOVED
