source_file,reference,current_incipit,extracted_incipit,script_source,cycle,date,reading_type,notes
standard_lectionary_complete.csv,2 Tim 2:8-13,,,,/C,Ordinary Time 28 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Thess 1:1-5b,,,,/A,Ordinary Time 29 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Heb 4:14-16,,,,/B,Ordinary Time 29 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,2 Tim 3:14-4:2,,,,/C,Ordinary Time 29 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Thess 1:5c-10,,,,/A,Ordinary Time 30 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Heb 5:1-6,,,,/B,Ordinary Time 30 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"2 Tim 4:6-8, 16-18",,,,/C,Ordinary Time 30 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"1 Thess 2:7b-9, 13",,,,/A,Ordinary Time 31 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Heb 7:23-28,,,,/B,Ordinary Time 31 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,2 Thess 1:11-2:2,,,,/C,Ordinary Time 31 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Thess 4:13-18 or 4:13-14,,,,/A,Ordinary Time 32 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Heb 9:24-28,,,,/B,Ordinary Time 32 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,2 Thess 2:16-3:5,,,,/C,Ordinary Time 32 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Thess 5:1-6,,,,/A,Ordinary Time 33 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Heb 10:11-14, 18",,,,/B,Ordinary Time 33 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Rom 5:12-19 or 5:12, 17-19",,,,/A,Lent 1 Sunday,Second Reading,No matching reference found in script sources
