Season,Week,Day,Weekday Cycle,Sunday Cycle,Full Reference,Refrain Text,Acclamation Ref,Acclamation Text,Lectionary Number
Ordinary Time,23,Sunday,,A,Psalm 95:1-2.6-7.8-9 (R. 8),O that today you would listen to his voice! Harden not your hearts.,2 Corinthians 5:19,"God in Christ was reconciling the world to himself, and he has entrusted to us the news that they are reconciled.",
Ordinary Time,23,Sunday,,B,Psalm 146:6-7.8-9.9-10 (R. 1b),"My soul, give praise to the Lord.",cf. Matthew 4:23,Jesus proclaimed the Good News of the kingdom and cured all kinds of sickness among the people.,
Ordinary Time,23,Sunday,,C,Psalm 90:3-4.5-6.12-13.14.17 (R. 1),"O Lord, you have been our refuge from one generation to the next.",Psalm 119:135,"Let your face shine on your servant, and teach me your decrees.",
Ordinary Time,23,Monday,I,,"Psalm 62.5-6, 7b-8 (R.7a)",In God is my safety and my glory.,John 10.27,"My sheep listen to my voice, says the Lord; I know them and they follow me.",437
Ordinary Time,23,Monday,I,,"Psalm 28.2, 7, 8-9 (R.6)",Blest be the Lord for he has heard my prayer.,John 3.16,"God loved the world so much, he gave his only Son, that all who believe in him might have eternal life.",443
Ordinary Time,23,Tuesday,I,,"Psalm 145.1-2, 8-9, 10-11 (R.9)",The Lord is compassionate to all creatures.,John 15.16,"I have chosen you from the world, says the Lord, to go and bear fruit that will last.",438
Ordinary Time,23,Tuesday,II,,"Psalm 149.1-2, 3-4, 5-6a+9b (R.4a)",The Lord takes delight in his people.,John 15.16,"I have chosen you from the world, says the Lord, to go and bear fruit that will last.",438
Ordinary Time,23,Wednesday,I,,"Psalm 145.2-3, 10-11, 12-13ab (R. see 9)",The Lord is compassionate to all creatures.,Luke 6.23ab,Rejoice and be glad; your reward will be great in heaven.,439
Ordinary Time,23,Wednesday,II,,"Psalm 45.10-11, 13-14, 15-16 (R.8a)","Listen to me, daughter; see and bend your ear.",Luke 6.23ab,Rejoice and be glad; your reward will be great in heaven.,439
Ordinary Time,23,Thursday,I,,"Psalm 150.1-2, 3-4, 5-6 (R.6)",Let everything that breathes praise the Lord.,1 John 4.12,"If we love one another, God will live in us in perfect love.",440
Ordinary Time,23,Thursday,II,,"Psalm 139.1-3, 13-14ab, 23-24 (R.24b)","Guide me, Lord, along the everlasting way.",1 John 4.12,"If we love one another, God will live in us in perfect love.",440
Ordinary Time,23,Friday,I,,"Psalm 16.1-2a+5, 7-8, 11 (R. see 5a)","You are my inheritance, O Lord.",John 17.17ba,"Your word, O Lord, is truth; make us holy in the truth.",441
Ordinary Time,23,Friday,II,,"Psalm 84.2, 3, 4-5, 11 (R.1)","How lovely is your dwelling place, Lord, mighty God!",John 17.17ba,"Your word, O Lord, is truth; make us holy in the truth.",441
Ordinary Time,23,Saturday,I,,"Psalm 113.1-2, 3-4, 5a+6-7 (R. see 2)",Blessed be the name of the Lord for ever.,John 14.23,"All who love me will keep my words, and my Father will love them, and we will come to them.",442
Ordinary Time,23,Saturday,II,,"Psalm 116.12-13, 17-18 (R.17a)","To you, Lord, I will offer a sacrifice of praise.",John 14.23,"All who love me will keep my words, and my Father will love them, and we will come to them.",442
Ordinary Time,24,Sunday,,A,Psalm 103:1-2.3-4.9-10.11-12 (R. 8),"The Lord is compassion and love, slow to anger and rich in mercy.",John 13:34,"I give you a new commandment: love one another just as I have loved you, says the Lord.",
Ordinary Time,24,Sunday,,B,Psalm 116:1-2.3-4.5-6.8-9 (R. 9),I will walk in the presence of the Lord in the land of the living.,Galatians 6:14,"The only thing I can boast about is the cross of our Lord Jesus Christ, through whom the world is crucified to me, and I to the world.",
Ordinary Time,24,Sunday,,C,Psalm 51:3-4.12-13.17.19 (R. Luke 15:18),I will leave this place and go to my father.,2 Corinthians 5:19,"God in Christ was reconciling the world to himself, and he has entrusted to us the news that they are reconciled.",
Ordinary Time,24,Monday,I,,"Psalm 126.1-2ab, 2cd-3, 4-5, 6 (R.3a)",The Lord has done great things for us.,Matthew 5.16,"Let your light shine before all, that they",449
Ordinary Time,24,Monday,II,,"Psalm 40.6-7a, 7b-8, 9, 16 (R. 1 Cor 11.26b)",Proclaim the death of the Lord until he comes again.,John 3.16,"God loved the world so much, he gave his only Son, that all who believe in him might have eternal life.",443
Ordinary Time,24,Monday,II,,"Psalm 15.1b-3a, 3b-4a, 4b-5 (R.1b-2)","The just shall live on your holy mountain, O Lord.",Matthew 5.16,"Let your light shine before all, that they",449
Ordinary Time,24,Tuesday,I,,"Psalm 101.1-2ab, 2cd-3ab, 5, 6 (R.2b)",I will walk with blameless heart.,Luke 7.16,"A great prophet has appeared among us, God has visited his people.",444
Ordinary Time,24,Tuesday,II,,"Psalm 100.1-2, 3, 4, 5 (R.3c)",We are his people: the sheep of his flock.,Luke 7.16,"A great prophet has appeared among us, God has visited his people.",444
Ordinary Time,24,Wednesday,I,,"Psalm 111.1-2, 3-4, 5-6 (R.2a)",How great are the works of the Lord!,"John 6.63c, 68c","Your words, Lord, are spirit and life, you have the words of everlasting life.",445
Ordinary Time,24,Wednesday,II,,"Psalm 33.2-3, 43-5, 12+22 (R.12b)",Happy the people the Lord has chosen to be his own.,"John 6.63c, 68c","Your words, Lord, are spirit and life, you have the words of everlasting life.",445
Ordinary Time,24,Thursday,I,,"Psalm 111.7-8, 9, 10 (R.2a)",How great are the works of the Lord!,Matthew 11.28,"Come to me, all you that labour and are burdened, and I will give you rest, says the Lord.",446
Ordinary Time,24,Thursday,II,,"Psalm 118.1-2, 16ab-17, 21+28 (R.1a)","Give thanks, for the Lord is good.",Matthew 11.28,"Come to me, all you that labour and are burdened, and I will give you rest, says the Lord.",446
Ordinary Time,24,Friday,I,,"Psalm 49.5-6, 7-9, 16-17, 18-19 (R. see Mt 5.3)",Blessed are the poor in spirit; the kingdom of heaven is theirs!,See Matthew 11.25,"Blessed are you, Father, Lord of heaven and earth; you have revealed to little ones the mysteries of the kingdom.",447
Ordinary Time,24,Friday,II,,"Psalm 17.1, 6-7, 8b+15 (R.15b)","Lord, when your glory appears, my joy will be full.",See Matthew 11.25,"Blessed are you, Father, Lord of heaven and earth; you have revealed to little ones the mysteries of the kingdom.",447
Ordinary Time,24,Saturday,I,,"Psalm 100.1-2, 3, 4, 5 (R.2c)",Come with joy into the presence of the Lord.,See Luke 8.15,Blessed are they who have kept the word with a generous heart and yield a harvest through perseverance.,448
Ordinary Time,24,Saturday,II,,"Psalm 56.3-4, 9b-11, 12-13 (R. see 13b)","I will walk in the presence of God, with the light of the living.",See Luke 8.15,Blessed are they who have kept the word with a generous heart and yield a harvest through perseverance.,448
Ordinary Time,25,Sunday,,A,Psalm 145:2-3.8-9.17-18 (R. 18a),The Lord is close to all who call him.,cf. Acts 16:14b,"Open our heart, O Lord, to accept the words of your Son.",
Ordinary Time,25,Sunday,,B,Psalm 54:3-4.5.6.8 (R. 6b),The Lord upholds my life.,cf. 2 Thessalonians 2:14,Through the Good News God called us to share the glory of our Lord Jesus Christ.,
Ordinary Time,25,Sunday,,C,Psalm 113:1-2.4-6.7-8 (R. cf. 1a.7b),"Praise the Lord, who raises the poor.",2 Corinthians 8:9,"Jesus Christ was rich, but he became poor for your sake, to make you rich out of his poverty.",
Ordinary Time,25,Monday,I,,"Psalm 102.15-17, 18-20, 28+21-22 (R.16)","The Lord will build up Zion again, and appear in all his glory.",Mark 10.45,The Son of Man came to serve and to give his life as a ransom for all.,455
Ordinary Time,25,Monday,II,,"Psalm 17.1, 2-3, 6-7 (R.6b)","Lord, bend your ear and hear my prayer.",Mark 10.45,The Son of Man came to serve and to give his life as a ransom for all.,455
Ordinary Time,25,Tuesday,I,,"Psalm 122.1-2, 3-4a, 4b-5 (R. see 1)",Let us go rejoicing to the house of the Lord.,Luke 11.28,Blessed are they who hear the word of God and keep it.,450
Ordinary Time,25,Tuesday,II,,"Psalm 119.1+27, 30+34, 35+44 (R.35a)","Guide me, Lord, in the way of your commands.",Luke 11.28,Blessed are they who hear the word of God and keep it.,450
Ordinary Time,25,Wednesday,II,,"Psalm 119.29+72, 89+101, 104+163 (R.105a)","Your word, O Lord, is a lamp for my feet.",Mark 1.15,The kingdom of God is near: repent and believe the good news!,451
Ordinary Time,25,Thursday,I,,"Psalm 149.1-2, 3-4, 5-6a+9b (R.4a)",The Lord takes delight in his people.,John 14.6,"I am the way, the truth, and the life, says the Lord; no one comes to the Father, except through me.",452
Ordinary Time,25,Thursday,II,,"Psalm 90.3-4, 5-6, 12-13, 14+17 (R.1)","In every age, O Lord, you have been our refuge.",John 14.6,"I am the way, the truth, and the life, says the Lord; no one comes to the Father, except through me.",452
Ordinary Time,25,Friday,I,,"Psalm 43.1, 2, 3, 4 (R. see 5bc)","Hope in God, I will praise him, my saviour and my God.",Mark 10.45,The Son of Man came to serve and to give his life as a ransom for all.,453
Ordinary Time,25,Friday,II,,"Psalm 144.1a+2abc, 3-4, 9+15b (R.1a)","Blessed be the Lord, my rock.",Mark 10.45,The Son of Man came to serve and to give his life as a ransom for all.,453
Ordinary Time,25,Saturday,II,,"Psalm 90.3-4, 5-6, 12-13, 14+17 (R.1)","In every age, O Lord, you have been our refuge.",2 Timothy 1.10b,Our Saviour Jesus Christ has done away with death and brought us life through the gospel.,454
Ordinary Time,26,Sunday,,A,Psalm 25:4-5.6-7.8-9 (R. 6a),"Remember your mercy, Lord.",John 10:27,"The sheep that belong to me listen to my voice, says the Lord, I know them and they follow me.",
Ordinary Time,26,Sunday,,B,Psalm 19:8.10.12-13.14 (R. 9a),The precepts of the Lord gladden the heart.,cf. John 17:17b.a,"Your word is truth, O Lord; consecrate us in the truth.",
Ordinary Time,26,Sunday,,C,Psalm 146:6-7.8-9.9-10 (R. 1b),"My soul, give praise to the Lord.",2 Corinthians 8:9,"Jesus Christ was rich, but he became poor for your sake, to make you rich out of his poverty.",
Ordinary Time,26,Tuesday,I,,"Psalm 87.1-3, 4-5, 6-7 (R. Zech 8.23)",God is with us.,Mark 10.45,The Son of Man came to serve and to give his life as a ransom for all.,456
Ordinary Time,26,Tuesday,II,,"Psalm 88.1-2, 3-4, 5, 6-7 (R.2a)","Let my prayer come before you, Lord.",Mark 10.45,The Son of Man came to serve and to give his life as a ransom for all.,456
Ordinary Time,26,Wednesday,I,,"Psalm 137.1-2, 3, 4-5, 6 (R.6ab)","Let my tongue be silenced, if I ever forget you!",Philippians 3.8-9,I count all things worthless but this: to gain Jesus Christ and to be found in him.,457
Ordinary Time,26,Wednesday,II,,"Psalm 88.9bc-10, 11-12, 13-14 (R.2a)","Let my prayer come before you, Lord.",Philippians 3.8-9,I count all things worthless but this: to gain Jesus Christ and to be found in him.,457
Ordinary Time,26,Thursday,I,,"Psalm 19.7, 8, 9, 10 (R.8a)",The precepts of the Lord give joy to the heart.,Mark 1.15,The kingdom of God is near: repent and believe the good news!,458
Ordinary Time,26,Thursday,II,,"Psalm 27.7-8a, 8b-9abc, 13-14 (R.13)",I believe that I shall see the good things of the Lord in the land of the living.,Mark 1.15,The kingdom of God is near: repent and believe the good news!,458
Ordinary Time,26,Friday,I,,"Psalm 79.1-2, 3-4, 5+8, 9 (R.9b)","For the glory of your name, O Lord, deliver us.",Psalm 95.8,"If today you hear God’s voice, harden not your hearts.",459
Ordinary Time,26,Friday,II,,"Psalm 139.1-3, 7-8, 9-10, 13-14ab (R.24b)","Guide me, Lord, along the everlasting way.",Psalm 95.8,"If today you hear God’s voice, harden not your hearts.",459
Ordinary Time,26,Saturday,I,,"Psalm 69.29+32, 33-34, 35-36 (R.33a)",The Lord listens to the poor.,Matthew 11.25,"Blessed are you, Father, Lord of heaven and earth; you have revealed to little ones the mysteries of the kingdom.",460
Ordinary Time,26,Saturday,II,,"Psalm 119.66+71, 75+91, 125+130 (R.135a)","Lord, let your face shine on me.",Matthew 11.25,"Blessed are you, Father, Lord of heaven and earth; you have revealed to little ones the mysteries of the kingdom.",460
